AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year
,,,,,,,,,,,,,,,,21.12.2004,,1015/04,,Erster Bericht der Bundesregierung an die gesetzgebenden Körperschaften des Bundes über die Erfahrungen mit den Regelungen des § 28e Abs. 3a bis 3e Viertes Buch Sozialgesetzbuch (Generalunternehmerhaftung für Sozialversicherungsbeiträge im Baugewerbe),2004
,,,,,,,,,,,,,,,,21.12.2004,,1014/04,,"Unterrichtung durch die Deutsche Delegation in der Parlamentarischen Versammlung der NATO Frühjahrstagung der Parlamentarischen Versammlung der NATO vom 28. Mai bis 1. Juni 2004 in Pressburg, Slowakei",2004
,,,,,,,,,,,,,,,,22.12.2004,,1013/04,,Entschließung des Europäischen Parlaments zu dem Jahresbericht 2003 über die Tätigkeit des Europäischen Bürgerbeauftragten,2004
,,,,,,,,,,,,,,,,22.12.2004,,1012/04,,Entschließung des Europäischen Parlaments zu den Ergebnissen der Tagung des Europäischen Rates vom 4./5. November 2004 in Brüssel,2004
,,,,,,,,,,,,,,,,22.12.2004,,1011/04,,Entschließung des Europäischen Parlaments zu der Strategie der Europäischen Union für die Konferenz von Buenos Aires zum Thema Klimaänderung (COP-10),2004
,,,,,,,,,,,,,,,,22.12.2004,,1010/04,,"Entschließung des Europäischen Parlaments zu der militärischen Operation ""Althea"" der Europäischen Union in Bosnien und Herzegowina",2004
,,,,,,,,,,,,,,,,22.12.2004,,1009/04,,Entschließung des Europäischen Parlaments zu dem Fünften Jahresbericht des Rates gemäß Nummer 8 der operativen Bestimmungen des Verhaltenskodex der Europäischen Union für Waffenausfuhren,2004
,,,,,,,,,,,,,,,,22.12.2004,,1008/04,,"Legislative Entschließung des Europäischen Parlaments zu dem Vorschlag für einen Beschluss des Rates über den Abschluss des Abkommens zwischen der Europäischen Gemeinschaft und dem Fürstentum Liechtenstein über Regelungen, die denen der Richtlinie 2003/48/EG des Rates vom 3. Juni 2003 im Bereich der Besteuerung von Zinserträgen gleichwertig sind",2004
,,,,,,,,,,,,,,,,22.12.2004,,1007/04,,"Legislative Entschließung des Europäischen Parlaments zu dem Vorschlag für einen Beschluss des Rates über den Abschluss des Abkommens zwischen der Europäischen Gemeinschaft und dem Fürstentum Andorra über Regelungen, die denen der Richtlinie 2003/48/EG des Rates vom 3. Juni 2003 im Bereich der Besteuerung von Zinserträgen gleichwertig sind",2004
,,,,,,,,,,,,,,,,03.12.2004,,1006/04,,Mitteilung der Bundesregierung zu der Entschließung des Bundesrates zu der Verordnung zur Änderung der Mykotoxin-Höchstmengenverordnung und der Diätverordnung und zu der Entschließung des Bundesrates zu der Verordnung zur Änderung der Diätverordnung und zur Änderung oder Aufhebung weiterer lebensmittelrechtlicher Vorschriften,2004
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,AS (fdf) - FJ - G,29.12.2004,AS,1004/04,0,Bericht der Bundesregierung über den Stand von Sicherheit und Gesundheit bei der Arbeit und über das Unfall- und Berufskrankheitengeschehen in der Bundesrepublik Deutschland im Jahre 2003,2004
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,EU (fdf) - G - K - Wi,28.12.2004,EU,1003/04,0,"Vorschlag für eine Verordnung des Europäischen Parlaments und des Rates über Zwangslizenzen für Patente an der Herstellung von Arzneimitteln, die für die Ausfuhr in Länder mit Problemen im Bereich der öffentlichen Gesundheit bestimmt sind",2004
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,EU (fdf) - Fz,28.12.2004,EU,1002/04,0,Vorschlag für eine Verordnung des Rates zur Änderung der Verordnung (EG) Nr. 1798/2003 hinsichtlich der Einführung von Verwaltungsvereinbarungen im Zusammenhang mit der Regelung der einzigen Anlaufstelle und dem Verfahren zur Erstattung der Mehrwertsteuer,2004
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),21.12.2004,Fz,1001/04,0,Haushaltsführung 2004 Weitere überplanmäßige Ausgabe bei Kapitel 1710 Titel 632 07 - Ausgaben nach § 8 Abs. 2 des Unterhaltsvorschussgesetzes -,2004
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,K (fdf),23.12.2004,K,1000/04,0,"Benennung eines Mitglieds des Kuratoriums der Stiftung ""Haus der Geschichte der Bundesrepublik Deutschland""",2004
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,K (fdf),23.12.2004,K,1000/04,0,"Benennung eines Mitglieds des Kuratoriums der Stiftung ""Haus der Geschichte der Bundesrepublik Deutschland""",2004
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wi (fdf),23.12.2004,Wi,999/04,0,Zweite Verordnung zur Änderung der Anlagen 1 und 2 des Textilkennzeichnungsgesetzes,2004
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Fz (fdf) - In,23.12.2004,Fz,998/04,0,Verordnung zur Festsetzung der Erhöhungszahl für die Gewerbesteuerumlage nach § 6 Abs. 5 des Gemeindefinanzreformgesetzes im Jahr 2005,2004
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,AS (fdf) - In,23.12.2004,AS,997/04,0,Verordnung über die Zulässigkeit und den Umfang der Wohnungsfürsorge für Bedienstete der Träger der Rentenversicherung (Bedienstetenwohnungs-Verordnung der RV-Träger - RVBedWohnV),2004
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,EU (fdf) - G,23.12.2004,EU,996/04,0,Benennung von Vertretern in Beratungsgremien der Europäischen Union (Hochrangige Gruppe der Kommission für Gesundheitsdienste und die medizinische Versorgung),2004
