AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year
0,0,0,0,0,0,1,0,0,0,0,0,0,K (fdf),18.12.2014,K,632/14,0,"Benennung eines stellvertretenden Mitglieds des Kuratoriums der Stiftung ""Haus der Geschichte der Bundesrepublik Deutschland""",2014
0,0,0,1,0,0,0,0,0,0,0,1,0,Wi (fdf) - Fz,18.12.2014,Wi,631/14,0,Gebührenverordnung zum Mess- und Eichwesen (Mess- und Eichgebührenverordnung - MessEGebV),2014
0,0,0,0,0,1,0,0,1,0,0,0,0,AV (fdf) - In - U,18.12.2014,AV,630/14,0,Verordnung zum Integrierten Verwaltungs- und Kontrollsystem und zur Änderung marktorganisationsrechtlicher Vorschriften,2014
,,,,,,,,,,,,,,,,18.12.2014,,629/14,,Stellungnahme der Bundesregierung zu der Entschließung des Bundesrates zur Änderung des Euratom-Vertrags,2014
0,0,0,0,0,0,0,0,0,0,0,0,0,EU (fdf),17.12.2014,EU,628/14,0,"Mitteilung der Kommission an das Europäische Parlament, den Rat, den Europäischen Wirtschafts- und Sozialausschuss und den Ausschuss der Regionen: Arbeitsprogramm der Kommission 2015 - Ein neuer Start",2014
,,,,,,,,,,,,,,,,17.12.2014,,627/14,,"Benennung eines Mitglieds und eines stellvertretenden Mitglieds für den Beirat der Bundesnetzagentur für Elektrizität, Gas, Telekommunikation, Post und Eisenbahnen",2014
,,,,,,,,,,,,,,,,17.12.2014,,626/14,,Benennung eines Mitglieds für den Eisenbahninfrastrukturbeirat,2014
,,,,,,,,,,,,,,,,17.12.2014,,625/14,,Vorschlag für die Berufung eines Mitglieds des Verwaltungsrates der Bundesagentur für Arbeit,2014
0,0,0,0,0,0,0,0,1,0,0,1,0,Wi (fdf) - U,17.12.2014,Wi,624/14,0,Verordnung zur Änderung der Systemstabilitätsverordnung,2014
,,,,,,,,,,,,,,,,17.12.2014,,623/14,,"Wahl von stellvertretenden Mitgliedern der ""Kommission Lagerung hoch radioaktiver Abfallstoffe"" gemäß § 3 Absatz 1 Satz 2 Nummer 3, Satz 5 und 6 des Standortauswahlgesetzes",2014
