AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year;
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Fz (fdf) - A - Wi,27.01.2006,Fz,66/06,0,Entwurf eines Gesetzes zur Ìãnderung des Gesetzes Ì_ber das Branntweinmonopol und von Verbrauchsteuergesetzen,2006;
"0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,EU (fdf) - A - AS - Fz - Wi,26.01.2006,EU,65/06,0,""Mitteilung der Kommission der EuropÌ_ischen Gemeinschaften an den Rat, das EuropÌ_ische Parlament und den EuropÌ_ischen Rechnungshof: Aktionsplan der Kommission fÌ_r einen Integrierten Internen Kontrollrahmen"",2006";
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wi (fdf),26.01.2006,Wi,63/06,0,Gesetz Ì_ber konjunkturstatistische Erhebungen in bestimmten Dienstleistungsbereichen (Dienstleistungskonjunkturstatistikgesetz - DIKonjStatG),2006;
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,In (fdf),26.01.2006,In,62/06,0,Erstes Gesetz Ì_ber die Bereinigung von Bundesrecht im ZustÌ_ndigkeitsbereich des Bundesministeriums des Innern,2006;
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Vk (fdf) - Fz - In,25.01.2006,Vk,61/06,0,Allgemeine Verwaltungsvorschrift zur Ìãnderung der Allgemeinen Verwaltungsvorschrift zur StraÌÙenverkehrs-Ordnung (VwV-StVO),2006;
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Vk (fdf) - Fz - In,25.01.2006,Vk,60/06,0,... Verordnung zur Ìãnderung straÌÙenverkehrsrechtlicher Vorschriften,2006;
"0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Wi (fdf) - AS - Fz - G,25.01.2006,Wi,59/06,0,""Jahreswirtschaftsbericht 2006 der Bundesregierung Reformieren, investieren, Zukunft gestalten - Politik fÌ_r mehr Arbeit in Deutschland"",2006";
0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,EU (fdf) - A - Fz - In - U - Wi - Wo,25.01.2006,EU,58/06,0,Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates Ì_ber die Bewertung und BekÌ_mpfung von Hochwasser,2006;
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,EU (fdf) - U - Vk,25.01.2006,EU,57/06,0,Mitteilung der Kommission der EuropÌ_ischen Gemeinschaften Ì_ber die FÌ¦rderung der Binnenschifffahrt: NAIADES - Integriertes europÌ_isches Aktionsprogramm fÌ_r die Binnenschifffahrt,2006;
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,G (fdf) - FJ - FS,25.01.2006,G,56/06,0,EntschlieÌÙung des Bundesrates fÌ_r eine hÌ¦here Verbindlichkeit der FrÌ_herkennungsuntersuchungen im Sinne des Kindeswohls,2006;
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,EU (fdf) - In - R,23.01.2006,EU,55/06,0,Vorschlag fÌ_r einen Rahmenbeschluss des Rates Ì_ber die DurchfÌ_hrung und den Inhalt des Austauschs von Informationen aus dem Strafregister zwischen den Mitgliedstaaten,2006;
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,EU (fdf) - A - AS - G - U - Vk,20.01.2006,EU,54/06,0,Mitteilung der Kommission der EuropÌ_ischen Gemeinschaften an den Rat und das EuropÌ_ische Parlament: ÌÏberprÌ_fung der Strategie fÌ_r nachhaltige Entwicklung - Ein Aktionsprogramm,2006;
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,EU (fdf) - In - R,20.01.2006,EU,53/06,0,GrÌ_nbuch der Kommission der EuropÌ_ischen Gemeinschaften Ì_ber die Kompetenzkonflikte und den Grundsatz ne bis in idem in Strafverfahren,2006;
"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,EU (fdf),20.01.2006,EU,52/06,0,""Bericht Ì_ber die Anwendung des SubsidiaritÌ_tsprinzips im Jahr 2004 (""""SubsidiaritÌ_tsbericht 2004"""")"",2006";
,,,,,,,,,,,,,,,,20.01.2006,,51/06,,Entwurf eines Gesetzes zur BekÌ_mpfung der Zwangsheirat und zum besseren Schutz der Opfer von Zwangsheirat (Zwangsheirat-BekÌ_mpfungsgesetz),2006;
,,,,,,,,,,,,,,,,20.01.2006,,50/06,,Entwurf eines Gesetzes zur Vermeidung von RÌ_ckfalltaten gefÌ_hrlicher junger GewalttÌ_ter,2006;
,,,,,,,,,,,,,,,,20.01.2006,,49/06,,Entwurf eines Gesetzes zur Ìãnderung des Bundesbesoldungsgesetzes,2006;
,,,,,,,,,,,,,,,,20.01.2006,,48/06,,Entwurf eines Stalking-BekÌ_mpfungsgesetzes,2006;
",,,,,,,,,,,,,,,,20.01.2006,,47/06,,""Entwurf eines Gesetzes zur ÌĞffnung des Bundesrechts fÌ_r die ZusammenfÌ_hrung von Gerichten der Verwaltungs-, Sozial- und Finanzgerichtsbarkeit in den LÌ_ndern (ZusammenfÌ_hrungsgesetz)"",2006";
,,,,,,,,,,,,,,,,20.01.2006,,46/06,,Entwurf eines Gesetzes zur Ìãnderung des Grundgesetzes (Artikel 92 und 108),2006;
,,,,,,,,,,,,,,,,20.01.2006,,45/06,,Entwurf eines ... Gesetzes zur Ìãnderung des Sozialgerichtsgesetzes,2006;
,,,,,,,,,,,,,,,,20.01.2006,,44/06,,Entwurf eines Gesetzes zur Verbesserung der BekÌ_mpfung der Jugenddelinquenz,2006;
",,,,,,,,,,,,,,,,20.01.2006,,43/06,,""Entwurf eines Gesetzes zur Ìãnderung der å¤å¤ 1360, 1360a BGB"",2006";
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,U (fdf) - AS,19.01.2006,U,42/06,0,Verordnung zur Ìãnderung der Rohrfernleitungsverordnung,2006;
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,EU (fdf) - In - R,19.01.2006,EU,41/06,0,Vorschlag fÌ_r einen Beschluss des Rates Ì_ber die ÌÏbermittlung von aus den TÌ_tigkeiten der Sicherheits- und Nachrichtendienste resultierenden Informationen Ì_ber terroristische Straftaten,2006;
0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,Fz (fdf) - AS - FJ - FS - In - Wi,19.01.2006,Fz,40/06,0,Entwurf eines Gesetzes zur steuerlichen FÌ¦rderung von Wachstum und BeschÌ_ftigung,2006;
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AS (fdf) - Fz,19.01.2006,AS,39/06,0,Entwurf eines Gesetzes zur Ìãnderung von Vorschriften des Sozialen EntschÌ_digungsrechts und des Gesetzes Ì_ber einen Ausgleich von DienstbeschÌ_digungen im Beitrittsgebiet,2006;
"0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Vk (fdf) - AS - In,18.01.2006,Vk,38/06,0,""EntschlieÌÙung des Bundesrates zur Umsetzung der Richtlinie 2002/15/EG des EuropÌ_ischen Parlaments und des Rates vom 11. MÌ_rz 2002 zur Regelung der Arbeitszeit von Personen, die FahrtÌ_tigkeiten im Bereich des StraÌÙentransports ausÌ_ben"",2006";
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,U (fdf),20.01.2006,U,37/06,0,Gesetz zur Ìãnderung des Abkommens vom 31. MÌ_rz 1992 zur Erhaltung der Kleinwale in der Nord- und Ostsee (Gesetz zur Ausweitung des ASCOBANS-Abkommensgebiets),2006;
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,U (fdf),20.01.2006,U,36/06,0,Gesetz zu der Zweiten Ìãnderung des ÌÏbereinkommens vom 25. Februar 1991 Ì_ber die UmweltvertrÌ_glichkeitsprÌ_fung im grenzÌ_berschreitenden Rahmen (Zweites Espoo-Vertragsgesetz),2006;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AS (fdf),20.01.2006,AS,35/06,0,Gesetz zu dem Abkommen vom 8. April 2005 zwischen der Bundesrepublik Deutschland und RumÌ_nien Ì_ber Soziale Sicherheit,2006;
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wi (fdf),20.01.2006,Wi,34/06,0,ZwÌ¦lftes Gesetz zur Ìãnderung des AuÌÙenwirtschaftsgesetzes und der AuÌÙenwirtschaftsverordnung,2006;
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,EU (fdf) - A - In - U - Vk,17.01.2006,EU,33/06,0,Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates zur Ìãnderung der Richtlinie 2002/59/EG Ì_ber die Einrichtung eines gemeinschaftlichen ÌÏberwachungs- und Informationssystems fÌ_r den Schiffsverkehr,2006;
0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,EU (fdf) - In - U - Vk - Wo,17.01.2006,EU,32/06,0,Mitteilung der Kommission der EuropÌ_ischen Gemeinschaften an den Rat und das EuropÌ_ische Parlament Ì_ber eine thematische Strategie fÌ_r die stÌ_dtische Umwelt,2006;
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,EU (fdf) - AS - R - Wi,17.01.2006,EU,31/06,0,Vorschlag fÌ_r eine Verordnung des EuropÌ_ischen Parlaments und des Rates Ì_ber das auf vertragliche SchuldverhÌ_ltnisse anzuwendende Recht (Rom I),2006;
"0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,EU (fdf) - FJ - FS - R,17.01.2006,EU,30/06,0,""Vorschlag fÌ_r eine Verordnung des Rates Ì_ber die ZustÌ_ndigkeit und das anwendbare Recht in Unterhaltssachen, die Anerkennung und Vollstreckung von Unterhaltsentscheidungen und die Zusammenarbeit im Bereich der Unterhaltspflichten"",2006";
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Vk (fdf) - In - Wi,17.01.2006,Vk,29/06,0,Verordnung zur Ìãnderung straÌÙenverkehrsrechtlicher Vorschriften,2006;
"0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,EU (fdf) - R - Wi,16.01.2006,EU,28/06,0,""Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates Ì_ber die AusÌ_bung der Stimmrechte durch Anteilseigner von Gesellschaften, die ihren eingetragenen Sitz in einem Mitgliedstaat haben und deren Aktien zum Handel auf einem geregelten Markt zugelassen sind, sowie zur Ìãnderung der Richtlinie 2004/109/EG"",2006";
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R (fdf),20.01.2006,R,27/06,0,Gesetz zu dem Protokoll Nr. 14 vom 13. Mai 2004 zur Konvention zum Schutz der Menschenrechte und Grundfreiheiten Ì_ber die Ìãnderung des Kontrollsystems der Konvention,2006;
