AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year;;;;;;
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Fz (fdf) - In,16.12.2013,Fz,805/13,0,Verordnung zur Festsetzung der ErhÌ¦hungszahl fÌ_r die Gewerbesteuerumlage nach å¤ 6 Absatz 5 des Gemeindefinanzreformgesetzes im Jahr 2014,2013;;;;;;
"0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,EU (fdf) - K,13.12.2013,EU,804/13,0,""Benennung von Beauftragten des Bundesrates in Beratungsgremien der EuropÌ_ischen Union fÌ_r die technische Arbeitsgruppe """"Erwachsenenbildung"""" im Rahmen der Offenen Methode der Koordinierung zur Implementierung des strategischen Rahmens fÌ_r die europÌ_ische Zusammenarbeit auf dem Gebiet der allgemeinen und beruflichen Bildung (""""ET 2020"""")"",2013";;;;;;
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,AV (fdf) - U,11.12.2013,AV,803/13,0,Entwurf eines ... Gesetzes zur Ìãnderung des Pflanzenschutzgesetzes,2013;;;;;;
"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,K (fdf),10.12.2013,K,802/13,0,""Benennung eines stellvertretenden Mitglieds des Kuratoriums der Stiftung """"Haus der Geschichte der Bundesrepublik Deutschland"""""",2013";;;;;;
,,,,,,,,,,,,,,,,11.11.2013,,801/13,,EntschlieÌÙungen des EuropÌ_ischen Parlaments,2013;;;;;;
,,,,,,,,,,,,,,,,12.12.2013,,800/13,,Neubenennung von Beauftragten des Bundesrates in Beratungsgremien der EuropÌ_ischen Union,2013;;;;;;
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),09.12.2013,Fz,799/13,0,Bemerkungen des Bundesrechnungshofes 2013 zur Haushalts- und WirtschaftsfÌ_hrung des Bundes (einschlieÌÙlich der Feststellungen zur Jahresrechnung 2012),2013;;;;;;
0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,EU (fdf) - AS - FJ - K - Wi,05.12.2013,EU,798/13,0,Vorschlag fÌ_r eine Empfehlung des Rates zu einem QualitÌ_tsrahmen fÌ_r Praktika,2013;;;;;;
"0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,EU (fdf) - AV,05.12.2013,EU,797/13,0,""Benennung von Beauftragten des Bundesrates in Beratungsgremien der EuropÌ_ischen Union (StÌ_ndiger Ausschuss fÌ_r die Lebensmittelkette und Tiergesundheit"; Sektion: Tiergesundheit und Tierschutz;" Bereich """"Tiergesundheit"""")"",2013";;;;
",,,,,,,,,,,,,,,,19.12.2013,,796/13,,""Gesetz zum Vorschlag fÌ_r eine Verordnung des Rates Ì_ber das Programm """"Europa fÌ_r BÌ_rgerinnen und BÌ_rger"""" fÌ_r den Zeitraum 2014-2020"",2013";;;;;;
