0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Fz (fdf) - R,27.01.2006,Fz,67/06,0,Entwurf eines Gesetzes zur Änderung und Bereinigung des Lastenausgleichsrechts,2006
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Fz (fdf) - A - Wi,27.01.2006,Fz,66/06,0,Entwurf eines Gesetzes zur Änderung des Gesetzes über das Branntweinmonopol und von Verbrauchsteuergesetzen,2006
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,EU (fdf) - A - AS - Fz - Wi,26.01.2006,EU,65/06,0,"Mitteilung der Kommission der Europäischen Gemeinschaften an den Rat, das Europäische Parlament und den Europäischen Rechnungshof: Aktionsplan der Kommission für einen Integrierten Internen Kontrollrahmen",2006
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wi (fdf),26.01.2006,Wi,63/06,0,Gesetz über konjunkturstatistische Erhebungen in bestimmten Dienstleistungsbereichen (Dienstleistungskonjunkturstatistikgesetz - DIKonjStatG),2006
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,In (fdf),26.01.2006,In,62/06,0,Erstes Gesetz über die Bereinigung von Bundesrecht im Zuständigkeitsbereich des Bundesministeriums des Innern,2006
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Vk (fdf) - Fz - In,25.01.2006,Vk,61/06,0,Allgemeine Verwaltungsvorschrift zur Änderung der Allgemeinen Verwaltungsvorschrift zur Straßenverkehrs-Ordnung (VwV-StVO),2006
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Vk (fdf) - Fz - In,25.01.2006,Vk,60/06,0,... Verordnung zur Änderung straßenverkehrsrechtlicher Vorschriften,2006
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Wi (fdf) - AS - Fz - G,25.01.2006,Wi,59/06,0,"Jahreswirtschaftsbericht 2006 der Bundesregierung Reformieren, investieren, Zukunft gestalten - Politik für mehr Arbeit in Deutschland",2006
0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,EU (fdf) - A - Fz - In - U - Wi - Wo,25.01.2006,EU,58/06,0,Vorschlag für eine Richtlinie des Europäischen Parlaments und des Rates über die Bewertung und Bekämpfung von Hochwasser,2006
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,EU (fdf) - U - Vk,25.01.2006,EU,57/06,0,Mitteilung der Kommission der Europäischen Gemeinschaften über die Förderung der Binnenschifffahrt: NAIADES - Integriertes europäisches Aktionsprogramm für die Binnenschifffahrt,2006
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,G (fdf) - FJ - FS,25.01.2006,G,56/06,0,Entschließung des Bundesrates für eine höhere Verbindlichkeit der Früherkennungsuntersuchungen im Sinne des Kindeswohls,2006
