AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year
,,,,,,,,,,,,,,,,28.11.2002,,925/02,,Legislative Entschließung des Europäischen Parlaments zu dem Vorschlag für eine Verordnung des Rates über den Abschluss des Abkommens in Form eines Briefwechsels über die Verlängerung des Protokolls zur Festlegung der Fangmöglichkeiten und der finanziellen Gegenleistung nach dem Abkommen zwischen der Europäischen Wirtschaftsgemeinschaft und der Regierung der Republik Angola über die Fischerei vor der Küste Angolas für die Zeit vom 3. Mai 2002 bis zum 2. August 2002,2002
,,,,,,,,,,,,,,,,28.11.2002,,924/02,,Entschließung des Europäischen Parlaments zu der Bedeutung und der Dynamik des Theaters und der darstellenden Künste im erweiterten Europa,2002
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,U (fdf) - AS - Fz - Wi,13.12.2002,U,923/02,0,Sechste Verordnung zur Änderung chemikalienrechtlicher Verordnungen,2002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A (fdf),13.12.2002,A,922/02,0,Verordnung zur Änderung der Verordnung über die Saldierung von Grundflächen im Wirtschaftsjahr 2002/2003 im Rahmen der gemeinschaftsrechtlichen Stützungsregelung für Erzeuger bestimmter landwirtschaftlicher Kulturpflanzen,2002
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,K (fdf),12.12.2002,K,921/02,0,Personelle Veränderungen im Beirat für Ausbildungsförderung beim Bundesministerium für Bildung und Forschung,2002
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R (fdf),12.12.2002,R,920/02,0,Vorschlag der Bundesministerin der Justiz für die Ernennung eines Bundesanwalts beim Bundesgerichtshof,2002
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),12.12.2002,Fz,919/02,0,Haushaltsführung 2002 Unterrichtung über die Erteilung der Einwilligung in eine überplanmäßige Ausgabe bei Kapitel 1110 Titel 681 01 - Versorgungsbezüge für Beschädigte -,2002
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,EU (fdf) - Fz - In,06.12.2002,EU,918/02,0,"Mitteilung der Kommission der Europäischen Gemeinschaften an das Europäische Parlament und den Rat über die Notwendigkeit und die Möglichkeiten, die Qualität der statistischen Daten zur öffentlichen Haushaltslage zu verbessern",2002
0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,EU (fdf) - Fz - In - Wi,06.12.2002,EU,917/02,0,"Mitteilung der Kommission der Europäischen Gemeinschaften an das Europäische Parlament und den Rat zur Statistik über die Eurozone: ""Wege zu methodologisch verbesserten Statistiken und Indikatoren für die Eurozone""",2002
,,,,,,,,,,,,,,,,12.12.2002,,916/02,,Benennung eines Mitglieds des Beirates bei der Regulierungsbehörde für Telekommunikation und Post,2002
