AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year
,,,,,,,,,,,,,,,,23.12.2008,,1007/08,,Medien- und Kommunikationsbericht der Bundesregierung 2008,2008
,,,,,,,,,,,,,,,,19.12.2008,,1006/08,,"Entschließung des Europäischen Parlaments vom 4. Dezember 2008 über die Erstellung eines Europäischen Kormoran-Managementplans zur Reduzierung der zunehmenden Schäden durch Kormorane für Fischbestände, Fischerei und Aquakultur",2008
,,,,,,,,,,,,,,,,19.12.2008,,1005/08,,Entschließung des Europäischen Parlaments vom 4. Dezember 2008 zu der Situation der Frauen auf dem Balkan,2008
,,,,,,,,,,,,,,,,19.12.2008,,1004/08,,Entschließung des Europäischen Parlaments vom 4. Dezember 2008 zum Sonderbericht Nr. 8/2007 des Europäischen Rechnungshofs über die Zusammenarbeit der Verwaltungsbehörden auf dem Gebiet der Mehrwertsteuer,2008
,,,,,,,,,,,,,,,,19.12.2008,,1003/08,,Entschließung des Europäischen Parlaments vom 4. Dezember 2008 zum Verhaltenskodex der EU über Waffenexporte,2008
,,,,,,,,,,,,,,,,19.12.2008,,1002/08,,"Entschließung des Europäischen Parlaments vom 4. Dezember 2008 zu dem Thema: Auf dem Weg der Verbesserung des Umfelds für KMU in Europa - ""Small Business Act""",2008
,,,,,,,,,,,,,,,,19.12.2008,,1001/08,,Legislative Entschließung des Europäischen Parlaments vom 4. Dezember 2008 zu dem Vorschlag für einen Beschluss des Rates über den Abschluss des Abkommens zwischen der Regierung der Republik Korea und der Europäischen Gemeinschaft über die Zusammenarbeit bei wettbewerbswidrigen Verhaltensweisen,2008
0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,EU (fdf) - G - In - K,30.12.2008,EU,1000/08,0,Vorschlag für eine Empfehlung des Rates zur Sicherheit der Patienten unter Einschluss der Prävention und Eindämmung von therapieassoziierten Infektionen,2008
0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,EU (fdf) - G - In - K,30.12.2008,EU,1000/08,0,Vorschlag für eine Empfehlung des Rates zur Sicherheit der Patienten unter Einschluss der Prävention und Eindämmung von therapieassoziierten Infektionen,2008
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,EU (fdf) - In - U - Wi,29.12.2008,EU,999/08,0,Vorschlag für eine Richtlinie des Europäischen Parlaments und des Rates über Elektro- und Elektronik-Altgeräte (Neufassung),2008
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,EU (fdf) - G - U - Wi,29.12.2008,EU,998/08,0,Vorschlag für eine Richtlinie des Europäischen Parlaments und des Rates zur Beschränkung der Verwendung bestimmter gefährlicher Stoffe in Elektro- und Elektronikgeräten (Neufassung),2008
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,EU (fdf) - Vk,23.12.2008,EU,997/08,0,Vorschlag für eine Verordnung des Europäischen Parlaments und des Rates zur Schaffung eines europäischen Schienennetzes für einen wettbewerbsfähigen Güterverkehr,2008
0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,EU (fdf) - AS - G - In - K,23.12.2008,EU,996/08,0,Grünbuch der Kommission der Europäischen Gemeinschaften über Arbeitskräfte des Gesundheitswesens in Europa,2008
,,,,,,,,,,,,,,,,22.12.2008,,995/08,,"Hauptgutachten 2007 des Wissenschaftlichen Beirats der Bundesregierung Globale Umweltveränderungen ""Welt im Wandel - Sicherheitsrisiko Klimawandel"" und Stellungnahme der Bundesregierung",2008
,,,,,,,,,,,,,,,,19.12.2008,,994/08,,Deutsche Anpassungsstrategie an den Klimawandel,2008
0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,EU (fdf) - U - Vk - Wi,19.12.2008,EU,993/08,0,Vorschlag für eine Richtlinie des Europäischen Parlaments und des Rates über Phase II der Benzindampf-Rückgewinnung beim Betanken von Personenkraftwagen an Tankstellen,2008
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Fz (fdf) - In,22.12.2008,Fz,992/08,0,Verordnung zur Festsetzung der Erhöhungszahl für die Gewerbesteuerumlage nach § 6 Abs. 5 des Gemeindefinanzreformgesetzes im Jahr 2009,2008
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,A (fdf) - G - U,22.12.2008,A,991/08,0,Dritte Verordnung zur Änderung der Rückstands-Höchstmengenverordnung und zur Änderung der Futtermittelverordnung,2008
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,Vk (fdf) - AS - G - In,22.12.2008,Vk,990/08,0,Allgemeine Verwaltungsvorschrift zur Änderung der Allgemeinen Verwaltungsvorschrift zur Straßenverkehrs-Ordnung,2008
,,,,,,,,,,,,,,,,18.12.2008,,989/08,,Bericht der Bundesregierung 2008 zur Anwendung des Standardkosten-Modells und zum Stand des Bürokratieabbaus,2008
,,,,,,,,,,,,,,,,15.12.2008,,988/08,,Entschließung des Europäischen Parlaments vom 20. November 2008 zu dem Fall der Familie al-Kurd,2008
,,,,,,,,,,,,,,,,15.12.2008,,987/08,,Entschließung des Europäischen Parlaments vom 20. November 2008 zur Todesstrafe in Nigeria,2008
,,,,,,,,,,,,,,,,15.12.2008,,986/08,,Entschließung des Europäischen Parlaments vom 20. November 2008 zu der Konvention über Streumunition,2008
,,,,,,,,,,,,,,,,15.12.2008,,985/08,,Entschließung des Europäischen Parlaments vom 20. November 2008 zur Europäischen Raumfahrtpolitik: den Weltraum der Erde näher bringen,2008
,,,,,,,,,,,,,,,,15.12.2008,,984/08,,Entschließung des Europäischen Parlaments vom 20. November 2008 zur Reaktion der EU auf die Verschlechterung der Lage im Osten der Demokratischen Republik Kongo,2008
,,,,,,,,,,,,,,,,15.12.2008,,983/08,,Entschließung des Europäischen Parlaments vom 20. November 2008 zu dem Vorschlag für einen Rahmenbeschluss des Rates über die Verwendung von Fluggastdatensätzen (PNR-Daten) zu Strafverfolgungszwecken,2008
,,,,,,,,,,,,,,,,15.12.2008,,982/08,,Entschließung des Europäischen Parlaments vom 20. November 2008 zu der Zukunft der Systeme der sozialen Sicherheit und der Renten: Ihre Finanzierung und der Trend zur Individualisierung,2008
,,,,,,,,,,,,,,,,15.12.2008,,981/08,,Entschließung des Europäischen Parlaments vom 20. November 2008 zu dem Sonderbericht des Europäischen Bürgerbeauftragten im Anschluss an den Empfehlungsentwurf an den Rat der Europäischen Union in der Beschwerde 1487/2005/GG,2008
,,,,,,,,,,,,,,,,15.12.2008,,980/08,,Entschließung des Europäischen Parlaments vom 18. November 2008 zur Unterstützung der frühzeitigen Demonstration einer nachhaltigen Stromerzeugung aus fossilen Brennstoffen,2008
,,,,,,,,,,,,,,,,15.12.2008,,979/08,,Entschließung des Europäischen Parlaments vom 18. November 2008 zu den Empfehlungen an die Kommission zur Anwendung des Grundsatzes des gleichen Entgelts für Männer und Frauen,2008
,,,,,,,,,,,,,,,,15.12.2008,,978/08,,Entschließung des Europäischen Parlaments vom 18. November 2008 zu der WWU@10: Zehn Jahre Wirtschafts- und Währungsunion - Errungenschaften und Herausforderungen,2008
,,,,,,,,,,,,,,,,15.12.2008,,977/08,,Entschließung des Europäischen Parlaments vom 18. November 2008 zu dem Verbraucherbarometer,2008
,,,,,,,,,,,,,,,,15.12.2008,,976/08,,Legislative Entschließung des Europäischen Parlaments vom 18. November 2008 zu dem Entwurf eines Beschlusses des Rates betreffend den Abschluss des Übereinkommens über die gerichtliche Zuständigkeit und die Anerkennung und Vollstreckung von Entscheidungen in Zivil- und Handelssachen im Namen der Gemeinschaft,2008
,,,,,,,,,,,,,,,,15.12.2008,,975/08,,Legislative Entschließung des Europäischen Parlaments vom 18. November 2008 zu dem Vorschlag für einen Beschluss des Rates und der Kommission über den Abschluss des Protokolls zum Abkommen über Partnerschaft und Zusammenarbeit zwischen den Europäischen Gemeinschaften und ihren Mitgliedstaaten einerseits und der Republik Kasachstan andererseits anlässlich des Beitritts der Republik Bulgarien und Rumäniens zur Europäischen Union,2008
,,,,,,,,,,,,,,,,18.12.2008,,974/08,,Bericht zur Evaluation der Experimentierklausel nach § 6c des Zweiten Buches Sozialgesetzbuch,2008
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,Wi (fdf) - G - In - K - R,19.12.2008,Wi,973/08,0,Siebzehntes Hauptgutachten der Monopolkommission 2006/2007 Stellungnahme der Bundesregierung,2008
,,,,,,,,,,,,,,,,18.12.2008,,972/08,,Gesetz zur Förderung von Familien und haushaltsnahen Dienstleistungen (Familienleistungsgesetz - FamLeistG),2008
